"endTime","artistName","trackName","msPlayed"
"2022-04-12 14:12","MisterWives","decide to be happy",60017
"2022-04-12 14:16","Rayo & Toby","Movimiento de Caderas",2202
"2022-04-12 14:20","Natalia Lafourcade","En el 2000",215000
"2022-04-12 14:21","Porta","El 90% de Mí Eres Tu",40660
"2022-04-12 14:23","Tessa Violet","YES MOM",139905
"2022-04-12 14:31","MisterWives","Coloring Outside The Lines",231306
"2022-04-12 14:36","MisterWives","Reflections",186440
"2022-04-12 14:44","MisterWives","Machine",122893
"2022-04-13 22:59","Tessa Violet","YES MOM",162360
"2022-04-13 23:03","Tessa Violet","Crush",216266
"2022-04-13 23:04","Tessa Violet","Wishful Drinking",50726
"2022-04-15 21:10","Porta","He Cambiado",137823
"2022-04-15 21:15","Porta","Dragon Ball GT Rap",301559
"2022-04-15 21:15","Porta","Corazón, Boli y Papel",3277
"2022-04-15 21:18","Greeicy","Más Fuerte",10040
